1390498983.618 |      0 | 172.17.11.27 | TCP_DENIED/407 | 3871 | CONNECT | client99.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498983.641 |      0 | 172.17.11.27 | TCP_DENIED/407 | 3871 | CONNECT | client51.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498983.840 |      0 | 172.30.10.61 | TCP_DENIED/407 | 3898 | CONNECT | 93.95.99.232:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498984.393 |      0 | 172.17.11.46 | TCP_DENIED/407 | 3871 | CONNECT | client25.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498984.416 |      0 | 172.17.11.46 | TCP_DENIED/407 | 3867 | CONNECT | client2.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498984.590 |      0 | 172.17.10.223 | TCP_DENIED/407 | 4593 | GET | http://watson.microsoft.com/StageOne/PrintIsolationHost_exe/6_1_7600_16385/4a5bd3b1/StackHash_9d2a/6_1_7601_18247/521eaf24/c0000374/00000000000c4102.htm? | - | HIER_NONE/- | text/html | 3128 | "MSDW" | -
1390498984.602 |      0 | 172.17.10.223 | TCP_DENIED/407 | 4925 | GET | http://watson.microsoft.com/StageOne/PrintIsolationHost_exe/6_1_7600_16385/4a5bd3b1/StackHash_9d2a/6_1_7601_18247/521eaf24/c0000374/00000000000c4102.htm? | - | HIER_NONE/- | text/html | 3128 | "MSDW" | -
1390498985.085 |    475 | 172.17.10.223 | TCP_MISS/200 | 425 | GET | http://watson.microsoft.com/StageOne/PrintIsolationHost_exe/6_1_7600_16385/4a5bd3b1/StackHash_9d2a/6_1_7601_18247/521eaf24/c0000374/00000000000c4102.htm? | pev014 | HIER_DIRECT/65.55.53.190 | text/html | 3128 | "MSDW" | -
1390498986.186 |      0 | 172.17.10.196 | TCP_DENIED/407 | 3872 | CONNECT | client24.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498986.207 |      0 | 172.17.10.196 | TCP_DENIED/407 | 3872 | CONNECT | client67.dropbox.com:443 | - | HIER_NONE/- | text/html | 3128 | "-" | -
1390498987.040 |      0 | 172.17.3.34 | TCP_DENIED/407 | 4630 | GET | http://export.yandex.ru/bar/reginfo.xml? | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | -
1390498987.054 |      0 | 172.17.3.34 | TCP_DENIED/407 | 4962 | GET | http://export.yandex.ru/bar/reginfo.xml? | - | HIER_NONE/- | text/html | 3128 | "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36" | -
